step, trajectory
1, {-1, 0}
2, {1, 0}
3, {0, -1}
4, {-1, 0}
5, {1, 0}
6, {1, 0}
7, {1, 0}
8, {0, 1}
9, {-1, 0}
10, {0, 1}
11, {1, 0}
12, {-1, 0}
13, {0, -1}
14, {0, 1}
15, {-1, 0}
16, {0, -1}
17, {1, 0}
18, {0, 1}
19, {0, 1}
20, {1, 0}
21, {-1, 0}
22, {0, -1}
23, {0, -1}
24, {0, -1}
25, {1, 0}
26, {0, -1}
27, {0, -1}
28, {1, 0}
29, {-1, 0}
30, {-1, 0}
31, {0, -1}
32, {0, -1}
33, {0, 1}
34, {1, 0}
35, {-1, 0}
36, {1, 0}
37, {-1, 0}
38, {0, -1}
39, {0, 1}
40, {-1, 0}
41, {-1, 0}
42, {0, -1}
43, {1, 0}
44, {1, 0}
45, {0, -1}
46, {0, -1}
47, {0, 1}
48, {0, 1}
49, {0, -1}
50, {1, 0}
51, {1, 0}
52, {-1, 0}
53, {-1, 0}
54, {1, 0}
55, {1, 0}
56, {0, 1}
57, {1, 0}
58, {-1, 0}
59, {0, -1}
60, {0, -1}
61, {0, 1}
62, {-1, 0}
63, {0, -1}
64, {0, -1}
65, {0, 1}
66, {-1, 0}
67, {0, 1}
68, {0, 1}
69, {0, 1}
70, {1, 0}
71, {1, 0}
72, {-1, 0}
73, {0, 1}
74, {0, -1}
75, {0, 1}
76, {0, -1}
77, {0, -1}
78, {0, -1}
79, {0, -1}
80, {1, 0}
81, {-1, 0}
82, {-1, 0}
83, {0, -1}
84, {1, 0}
85, {0, 1}
86, {0, 1}
87, {1, 0}
88, {1, 0}
89, {1, 0}
90, {0, -1}
91, {1, 0}
92, {-1, 0}
93, {0, 1}
94, {-1, 0}
95, {0, 1}
96, {-1, 0}
97, {0, -1}
98, {0, -1}
99, {0, -1}
100, {0, 1}
101, {1, 0}
102, {-1, 0}
103, {0, -1}
104, {-1, 0}
105, {0, -1}
106, {0, 1}
107, {1, 0}
108, {0, 1}
109, {0, 1}
110, {-1, 0}
111, {1, 0}
112, {1, 0}
113, {-1, 0}
114, {-1, 0}
115, {0, 1}
116, {0, 1}
117, {-1, 0}
118, {1, 0}
119, {0, -1}
120, {0, 1}
121, {1, 0}
122, {0, 1}
123, {0, 1}
124, {-1, 0}
125, {-1, 0}
126, {1, 0}
127, {1, 0}
128, {0, 1}
129, {1, 0}
130, {0, 1}
131, {0, -1}
132, {1, 0}
133, {0, 1}
134, {1, 0}
135, {0, -1}
136, {-1, 0}
137, {-1, 0}
138, {1, 0}
139, {0, 1}
140, {0, -1}
141, {-1, 0}
142, {0, -1}
143, {0, 1}
144, {-1, 0}
145, {-1, 0}
146, {0, -1}
147, {0, 1}
148, {0, -1}
149, {0, -1}
150, {0, 1}
151, {-1, 0}
152, {0, 1}
153, {0, -1}
154, {0, 1}
155, {1, 0}
156, {1, 0}
157, {0, -1}
158, {0, -1}
159, {0, 1}
160, {1, 0}
161, {0, 1}
162, {0, -1}
163, {1, 0}
164, {0, -1}
165, {0, -1}
166, {0, -1}
167, {1, 0}
168, {0, -1}
169, {-1, 0}
170, {0, 1}
171, {0, -1}
172, {1, 0}
173, {-1, 0}
174, {0, -1}
175, {-1, 0}
176, {0, -1}
177, {0, 1}
178, {1, 0}
179, {1, 0}
180, {1, 0}
181, {-1, 0}
182, {-1, 0}
183, {1, 0}
184, {0, -1}
185, {-1, 0}
186, {-1, 0}
187, {0, 1}
188, {0, 1}
189, {0, -1}
190, {-1, 0}
191, {-1, 0}
192, {1, 0}
193, {0, -1}
194, {-1, 0}
195, {1, 0}
196, {1, 0}
197, {-1, 0}
198, {-1, 0}
199, {1, 0}
200, {0, 1}
201, {0, 1}
202, {1, 0}
203, {0, 1}
204, {0, -1}
205, {0, 1}
206, {0, 1}
207, {1, 0}
208, {0, 1}
209, {0, -1}
210, {0, -1}
211, {0, -1}
212, {-1, 0}
213, {-1, 0}
214, {1, 0}
215, {0, 1}
216, {0, 1}
217, {0, -1}
218, {0, 1}
219, {0, -1}
220, {1, 0}
221, {0, 1}
222, {1, 0}
223, {1, 0}
224, {-1, 0}
225, {0, 1}
226, {0, 1}
227, {-1, 0}
228, {0, 1}
229, {-1, 0}
230, {0, -1}
231, {-1, 0}
232, {0, -1}
233, {1, 0}
234, {1, 0}
235, {0, -1}
236, {1, 0}
237, {-1, 0}
238, {1, 0}
239, {-1, 0}
240, {1, 0}
241, {1, 0}
242, {0, -1}
243, {0, -1}
244, {0, 1}
245, {0, -1}
246, {0, 1}
247, {0, -1}
248, {-1, 0}
249, {-1, 0}
250, {1, 0}
251, {0, -1}
252, {0, 1}
253, {-1, 0}
254, {0, -1}
255, {0, 1}
256, {0, -1}
257, {1, 0}
258, {0, -1}
259, {-1, 0}
260, {0, -1}
261, {0, -1}
262, {0, 1}
263, {0, -1}
264, {1, 0}
265, {-1, 0}
266, {0, 1}
267, {1, 0}
268, {1, 0}
269, {0, 1}
270, {-1, 0}
271, {-1, 0}
272, {-1, 0}
273, {0, -1}
274, {0, 1}
275, {0, 1}
276, {1, 0}
277, {-1, 0}
278, {-1, 0}
279, {-1, 0}
280, {0, -1}
281, {1, 0}
282, {-1, 0}
283, {1, 0}
284, {0, -1}
285, {0, -1}
286, {0, -1}
287, {1, 0}
288, {1, 0}
289, {0, 1}
290, {-1, 0}
291, {-1, 0}
292, {1, 0}
293, {0, -1}
294, {0, -1}
295, {-1, 0}
296, {0, -1}
297, {0, -1}
298, {0, 1}
299, {0, -1}
300, {0, -1}
